"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus726","Anaeroglobus","Firmicutes",2.03845093424552e-12,1.14832735962498e-11,0.000873660654952077,0.000973999662749706,0.00103124646065259,0.00103132401420118,0.000836604952802359,0.000687935220264317,0.000678759376090544,FALSE
"RSV_genus728","Centipeda","Firmicutes",4.86493052252725e-10,1.91203083327234e-09,7.35511900958467e-05,8.00304958871915e-05,8.21679417786308e-05,7.46354153846154e-05,5.30594631268437e-05,4.63923964757709e-05,4.30879436453666e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",9.8050083926063e-12,5.0213527828802e-11,0.00250840170607029,0.00246519081316099,0.00251789477927063,0.00248781419408284,0.00249644774926254,0.00215299474008811,0.00203088246121198,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.0281080763090289,0.0533737628789426,0.00505045100159744,0.00505616214688601,0.00484396768138196,0.00493218989704142,0.00509678350442478,0.00520746229955947,0.00548514483211506,FALSE
"RSV_genus735","Selenomonas","Firmicutes",5.88442290762404e-07,1.87635371960087e-06,0.000756584853035143,0.000737423619271445,0.000827885850927705,0.000744312475739645,0.000682326047197639,0.000600930832599119,0.000560583454609762,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.00228284269662323,0.00507632125959639,0.00150320194408946,0.0014451018707403,0.00139931967818298,0.00148114743431953,0.00145269772123894,0.00118540879735683,0.00157234962508842,TRUE
"RSV_genus737","Selenomonas 4","Firmicutes",3.61708010480139e-09,1.30060965470518e-08,9.35730495207667e-05,9.47229224441832e-05,0.000126621025591811,0.000100572152662722,9.69922050147493e-05,7.54204317180617e-05,8.12931690639e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.114233092757804,0.183860882629228,0.0597331051198084,0.0587966321233842,0.0604372183026232,0.0570230948982249,0.060963430379056,0.0620613073568282,0.0610984145180382,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",4.22736294397173e-05,0.000119070722921871,0.0290596345207668,0.0275325160893067,0.0278242282373641,0.0284085489976332,0.0274603974852508,0.0280808127004405,0.0259971020521104,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",6.04243045687542e-05,0.000167405040526549,0.0177835944792332,0.0178835196639248,0.017387105618682,0.0180281181857988,0.0181808334882006,0.0185783575594714,0.0199722720962037,TRUE
"RSV_genus749","Sneathia","Fusobacteria",2.34402769649225e-09,8.61175392841719e-09,9.91168642172524e-05,6.91792737955347e-05,0.000128397241202815,5.67120201183432e-05,3.08164572271386e-05,3.30163876651982e-06,3.84565420891299e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",1.03110499447852e-25,1.93618604518744e-24,0.000740304476038339,0.000996307283196241,0.00083805926359565,0.0011342476260355,0.00103420980530973,0.000703535907488987,0.000419234314076869,TRUE
